"Timestamp","Have you ever used any Quantum Programming Language?","What is your age?","Where do you live? (Country)","Which of the following describe you?","How many years have you been coding?","How many years have you coded 𝐩𝐫𝐨𝐟𝐞𝐬𝐬𝐢𝐨𝐧𝐚𝐥𝐥𝐲 (as a part of your work)?","How did you learn to code? Select all that apply.","What are the most used programming, scripting, and markup languages have you used? Select all that apply.","What is your level of knowledge in Quantum Physics? ","Where did you learn Quantum Physics?","Which of the following best describes the highest level of education that you have completed? ","If you have completed a major, what is the subject?","Which of the following describes your current job? Please select all that apply.","Where and how did you learn 𝐐𝐮𝐚𝐧𝐭𝐮𝐦 𝐏𝐫𝐨𝐠𝐫𝐚𝐦𝐦𝐢𝐧𝐠 𝐋𝐚𝐧𝐠𝐮𝐚𝐠𝐞𝐬?","How many years have you been coding using 𝐐𝐮𝐚𝐧𝐭𝐮𝐦 𝐏𝐫𝐨𝐠𝐫𝐚𝐦𝐦𝐢𝐧𝐠 𝐋𝐚𝐧𝐠𝐮𝐚𝐠𝐞𝐬?","How many years have you coded 𝐩𝐫𝐨𝐟𝐞𝐬𝐬𝐢𝐨𝐧𝐚𝐥𝐥𝐲 using 𝐐𝐮𝐚𝐧𝐭𝐮𝐦 𝐏𝐫𝐨𝐠𝐫𝐚𝐦𝐦𝐢𝐧𝐠 𝐋𝐚𝐧𝐠𝐮𝐚𝐠𝐞𝐬 (as a part of your work)?","What Quantum Programming Languages / frameworks have you been using and for how long? [Blackbird]","What Quantum Programming Languages / frameworks have you been using and for how long? [Braket SDK]","What Quantum Programming Languages / frameworks have you been using and for how long? [Cirq]","What Quantum Programming Languages / frameworks have you been using and for how long? [Cove]","What Quantum Programming Languages / frameworks have you been using and for how long? [cQASM]","What Quantum Programming Languages / frameworks have you been using and for how long? [CQP (Communication Quantum Processes)]","What Quantum Programming Languages / frameworks have you been using and for how long? [cQPL]","What Quantum Programming Languages / frameworks have you been using and for how long? [Forest]","What Quantum Programming Languages / frameworks have you been using and for how long? [Ket]","What Quantum Programming Languages / frameworks have you been using and for how long? [LanQ]","What Quantum Programming Languages / frameworks have you been using and for how long? [𝐿𝐼𝑄𝑈𝑖|⟩]","What Quantum Programming Languages / frameworks have you been using and for how long? [NDQFP]","What Quantum Programming Languages / frameworks have you been using and for how long? [NDQJava]","What Quantum Programming Languages / frameworks have you been using and for how long? [Ocean Software]","What Quantum Programming Languages / frameworks have you been using and for how long? [OpenQASM]","What Quantum Programming Languages / frameworks have you been using and for how long? [Orquestra]","What Quantum Programming Languages / frameworks have you been using and for how long? [ProjectQ]","What Quantum Programming Languages / frameworks have you been using and for how long? [Q Language]","What Quantum Programming Languages / frameworks have you been using and for how long? [QASM (Quantum Macro Assembler)]","What Quantum Programming Languages / frameworks have you been using and for how long? [QCL (Quantum Computation Language)]","What Quantum Programming Languages / frameworks have you been using and for how long? [QDK (Quantum Development Kit)]","What Quantum Programming Languages / frameworks have you been using and for how long? [QHAL]","What Quantum Programming Languages / frameworks have you been using and for how long? [Qiskit]","What Quantum Programming Languages / frameworks have you been using and for how long? [qGCL]","What Quantum Programming Languages / frameworks have you been using and for how long? [QHaskell]","What Quantum Programming Languages / frameworks have you been using and for how long? [QML]","What Quantum Programming Languages / frameworks have you been using and for how long? [QPAlg (Quantum Process Algebra)]","What Quantum Programming Languages / frameworks have you been using and for how long? [QPL and QFC]","What Quantum Programming Languages / frameworks have you been using and for how long? [QSEL]","What Quantum Programming Languages / frameworks have you been using and for how long? [QuaFL (DSL for quantum programming)]","What Quantum Programming Languages / frameworks have you been using and for how long? [Quil]","What Quantum Programming Languages / frameworks have you been using and for how long? [Quipper]","What Quantum Programming Languages / frameworks have you been using and for how long? [Q#]","What Quantum Programming Languages / frameworks have you been using and for how long? [𝑄|𝑆𝐼⟩]","What Quantum Programming Languages / frameworks have you been using and for how long? [Sabry's Language]","What Quantum Programming Languages / frameworks have you been using and for how long? [Scaffold]","What Quantum Programming Languages / frameworks have you been using and for how long? [Silq]","What Quantum Programming Languages / frameworks have you been using and for how long? [Strawberry Fields]","What Quantum Programming Languages / frameworks have you been using and for how long? [𝜆𝑞 (Lambda Calculi)]","What Quantum Programming Languages / frameworks have you been using and for how long? [Other]","Is there any other Quantum Programming Language not listed that you have been using?","Which of the following is your 𝐩𝐫𝐢𝐦𝐚𝐫𝐲 Quantum Programming Language / framework?","In terms of ease,  rate your 𝐩𝐫𝐢𝐦𝐚𝐫𝐲 Quantum Programming Language. [Features / functionalities of the language]","In terms of ease,  rate your 𝐩𝐫𝐢𝐦𝐚𝐫𝐲 Quantum Programming Language. [Documentation avaliable]","In terms of ease,  rate your 𝐩𝐫𝐢𝐦𝐚𝐫𝐲 Quantum Programming Language. [Code examples]","In terms of ease,  rate your 𝐩𝐫𝐢𝐦𝐚𝐫𝐲 Quantum Programming Language. [Several forums]","In terms of ease,  rate your 𝐩𝐫𝐢𝐦𝐚𝐫𝐲 Quantum Programming Language. [Support (e.g., github issues)]","In terms of ease,  rate your 𝐩𝐫𝐢𝐦𝐚𝐫𝐲 Quantum Programming Language. [Easy to code]","Is there anything else you 𝗹𝗶𝗸𝗲 𝘁𝗵𝗲 𝗺𝗼𝘀𝘁 in your 𝐩𝐫𝐢𝐦𝐚𝐫𝐲 Quantum Programming Language?","Is there anything else you 𝗱𝗼 𝗻𝗼𝘁 𝗹𝗶𝗸𝗲 in your 𝐩𝐫𝐢𝐦𝐚𝐫𝐲 Quantum Programming Language?","Which forums, e.g., to ask for help, search for examples, do you use? (if any)","Which Quantum Programming Languages / frameworks would you like to work or try in the near future? ","Why would you like to work or try those languages / frameworks?","What challenges did you run into when choosing a Quantum Programming Language / framework?","In your opinion, what makes learning Quantum Programming Languages / frameworks important?","How do you use Quantum Programming Languages? ","What are the type of tools you think are necessary or missing to develop better and faster Quantum Programs? (E.g., IDE tailored for quantum, tools to debug quantum programs, tools to test) ","Do you test your Quantum Programs?","How often do you test your Quantum Programs?","How do you test your Quantum Programs? ","What tools do you use to test your Quantum Programs?","In your opinion, do you think there are too many or too few Quantum Programming Languages? Why?","In your opinion, do you think that quantum developers would need yet another Quantum Programming Languages in the near future? Why?"
"2022/03/31 10:58:33 AM GMT-3","Yes","25-34 years old","India","Man","1 to 4 years","1 to 4 years","Books / Physical media;Online Courses or Certification;Online Forum;Other online resources (videos, blogs, etc)","C;Java;Matlab;Python","3","Books;Online Course;Search Sites;University","Other doctoral degree (Ph.D., Ed.D., etc.)","Computer Science","Academic researcher;Scientist / Researcher;Student","Books;University;Online Course","1 to 4 years","Less than 1 year","","","","","","","","","","","","","","","","","","","","","","","1 to 2 years","","","","","","","","","","","","","","","","","","Matlab simulator ","Qiskit","1","1","1","1","1","1","","","Devtalk;Quantum Open Source Foundation;Slack;StackOverflow","Quil;Q#","Heard about the language","Language and complexity ","Matrix simulator ","Use it for research","Simulator ","Yes","Every day","Manually","Qiskit - QASM Simulator (https://qiskit.org/)","NA","NA "
"2022/03/31 11:00:22 AM GMT-3","Yes","55-64 years old","Uruguay","Man","Less than 1 year","Less than 1 year","School","C;Python","1 (novice)","Books","Primary/elementary school","Software Engineering","Instructor / Teacher / Tutor","Books","5 to 9 years","1 to 4 years","","","","","","","","","","","","","","","","","","","","","","","3 to 4 years","","","","","","","","","","","","","","","","","","","Qiskit","5","5","5","5","5","5","","","Quantum Open Source Foundation;StackOverflow","Cirq;OpenQASM;Orquestra;Qiskit;Quil","Widely used","coding","research","Use it for research","debug","Yes","Every time you change the code","Manually","Qiskit - QASM Simulator (https://qiskit.org/)","",""
"2022/03/31 12:22:48 PM GMT-3","Yes","45-54 years old","Canada","Man","40 to 44 years","25 to 29 years","Books / Physical media;Friend or family member","Assembly;Bash;C;Haskell;Java;JavaScrpit;Lisp;ML;Perl;PHP;Prolog;Python;Standard ML","5 (expert)","Books;Research","Other doctoral degree (Ph.D., Ed.D., etc.)","Math","Academic researcher","I developed them myself","20 to 24 years","20 to 24 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","More then 11 years","","","","","","","","","","Quipper","5","5","5","1","3","3","I am the developer of this language, so it is probably kind of pointless to ask me this question.","I am the developer of this language, so it is probably kind of pointless to ask me this question.","Not applicable, since I am the one doing the helping. All support is done by email.","None of the above","Do not like to work on them.","I developed it myself, so the question is not applicable.","That is not up to me to decide.","Use it for research","I think a quantum computer would be necessary.","Yes","After I write the program.","Manually","Quipper simulator","This is a silly question.","This is also a silly question. Define ""we"" and define ""need""? Arguably, almost 100% of the human population does not currently need any quantum programming languages. There are no current real-world applications of such languages. We are developing them for the (distant) future, not because of some immediate ""need""."
"2022/04/01 3:10:16 AM GMT-3","Yes","35-44 years old","France","Man","25 to 29 years","10 to 14 years","Books / Physical media;Friend or family member;Online Forum;Other online resources (videos, blogs, etc);School","Assembly;Bash;C;C++;Fortran;Haskell;Java;JavaScrpit;Lisp;Matlab;Pascal;Perl;PHP;PowerShell;Prolog;Python;Ruby;SQL;Standard ML;Visual Basic;Ocaml","2","Books;University;Work","Other doctoral degree (Ph.D., Ed.D., etc.)","Computer Science","Academic researcher;Instructor / Teacher / Tutor","Books;Language documentation;Work;I design them :-)","10 to 14 years","10 to 14 years","","","","","","","","","","","5 to 6 years","","","","","","5 to 6 years","","","","","","3 to 4 years","","","More then 11 years","","More then 11 years","","","","More then 11 years","","","5 to 6 years","More then 11 years","","3 to 4 years","","","Perceval  https://perceval.quandela.net/, myQLM https://myqlm.github.io/","Quipper","5","5","5","1","2","5","","","","Perceval","Support tool for research","When I started there was none :-)","Understanding how to turn the theoretical presentation of an algorithm into concrete code yields surprisingly interesting and hard research questions","Use it for research","Type systems and static analysis tools.","Yes","Every time you change the code","Manually","Qiskit - QASM Simulator (https://qiskit.org/);Other simulation plateform, ad-hoc for each language. ","","The problem is more about standard libraries of generic, optimized and verified subroutines and idioms  rather than programming languages."
"2022/04/01 12:56:42 PM GMT-3","Yes","35-44 years old","Canada","Man","10 to 14 years","5 to 9 years","Books / Physical media","Bash;Haskell","2","Books","Other doctoral degree (Ph.D., Ed.D., etc.)","Math;Philosophy","Academic researcher","University;Work","5 to 9 years","5 to 9 years","","","","","","","","","","","Less than 1 year","","","","Less than 1 year","","Less than 1 year","","","","","","","","","","","","","","","9 to 10 years","","","","","","","","","","Quipper","5","5","4","1","2","5","","","","Q#","Widely used","None","Don't know.","Use it for research","More standards in the field (e.g., for low-level circuit description) and more inter-operability between languages.","Yes","Every time you change the code","Manually","Quipper simulator","I think there is a good number of languages.","I don't think we really need another language, unless it adds something significant to the field."
"2022/04/02 10:00:06 PM GMT-3","Yes","65 years or older","Austria","Man","More than 50 years","10 to 14 years","Books / Physical media;Coding Bootcamp;Colleague;Online Courses or Certification;Online Forum;Other online resources (videos, blogs, etc);School","Assembly;Bash;C;C++;C#;Fortran;Java;JavaScrpit;Lisp;Objective-C;Pascal;PHP;Python;SQL;Visual C++;Prolog","2","Books;Online Course;University","Professional degree (JD, MD, etc.)","Computer Science;Economics;Software Engineering","Architect;CIO / CEO / CTO;Project Manager","Books;Language documentation;Online Course","1 to 4 years","1 to 4 years","","","1 to 2 years","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cirq","3","2","2","2","2","2","","","Slack","Cirq","Widely used","manufacturer dependency","Quantum’s computers are the next evolutionary step","Like to learn","Better IDE","Yes","Every time you change the code","Manually","Cirq Simulator and Testing - cirq.testing (https://quantumai.google/cirq)","Too many, not standardized, ((but not so easy)","Perhaps, a better standardized "
"2022/04/03 1:00:03 PM GMT-3","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/04/07 3:11:25 PM GMT-3","Yes","18-24 years old","Canada","Woman","5 to 9 years","1 to 4 years","Books / Physical media;Online Forum;Other online resources (videos, blogs, etc);School","C;Java;Python","2","Books;Search Sites;Work","Some college/university study without earning a degree","Math;Physics","Academic researcher","Language documentation;Online Forums","1 to 4 years","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","1 to 2 years","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","Less than 1 year","1 to 2 years","Pennylane","Other (Language informed in the previous question)","4","5","5","3","4","5","","","StackOverflow","Qiskit","Widely used","Learning functionality ","Scientific tools available, easy to use, lots of support ","Like to learn","n/a","No","N/A","","","Too many. There are lots of overlapping features. It would be nice to have one standardized language that can run on all machines.","No -- as mentioned previously many languages overlap and a standardized language for quantum computation could accelerate development."
"2022/04/07 3:50:37 PM GMT-3","Yes","25-34 years old","Canada","Man","5 to 9 years","5 to 9 years","Colleague;Online Forum","Bash;C++;Fortran;Python","5 (expert)","Books;University;Work","Other doctoral degree (Ph.D., Ed.D., etc.)","Physics","Academic researcher;Scientist / Researcher","Work","1 to 4 years","1 to 4 years","","","1 to 2 years","","","","","","","","","","","","","1 to 2 years","","","","","","","1 to 2 years","","","","","","","","1 to 2 years","","","","","","","","","1 to 2 years","tequila","Other (Language informed in the previous question)","4","3","5","1","4","5","still fairly easy to contribute to it's development","html documentation could be better","Quantum Open Source Foundation;Slack;StackOverflow","𝜆𝑞 (Lambda Calculi)","Read an article about the language","too many available, too many not properly maintained","not crucial but useful for numerical demonstrations","Use it for research","standard coding tools suffice","Yes","Every time you change the code","Automatically (e.g., unit test)","Cirq Simulator and Testing - cirq.testing (https://quantumai.google/cirq);Forest using pytest (https://github.com/rigetti/forest-software);Qiskit - QASM Simulator (https://qiskit.org/);Qulacs ","Too many (although it's good for the community and progress, but can be annoying when one has to pick)","No need. It would suffice if the existing ones get properly updated/maintained and extended. Could then be renamed and count as a ""new"" one ;-)"
"2022/04/07 4:08:04 PM GMT-3","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
