"timestamp","used_qpl",why_too_many_qpl_resp,why_need_another_qpl_resp
"2022/03/31 10:58:33 AM GMT-3","Yes",,
"2022/03/31 11:00:22 AM GMT-3","Yes",,
"2022/03/31 12:22:48 PM GMT-3","Yes",,
"2022/04/01 3:10:16 AM GMT-3","Yes",,"No"
"2022/04/01 12:56:42 PM GMT-3","Yes","No","No"
"2022/04/02 10:00:06 PM GMT-3","Yes","Yes","Yes"
"2022/04/03 1:00:03 PM GMT-3","No",,
"2022/04/07 3:11:25 PM GMT-3","Yes","Yes","No"
"2022/04/07 3:50:37 PM GMT-3","Yes","Yes","No"
"2022/04/07 4:08:04 PM GMT-3","No",,
"2022/04/07 4:17:15 PM GMT-3","Yes",,"Yes"
"2022/04/07 5:05:25 PM GMT-3","Yes",,
"2022/04/07 5:20:20 PM GMT-3","Yes","No",
"2022/04/07 5:35:59 PM GMT-3","Yes",,
"2022/04/07 6:30:53 PM GMT-3","Yes","Yes","Yes"
"2022/04/07 7:39:40 PM GMT-3","Yes",,
"2022/04/07 8:09:40 PM GMT-3","Yes","Yes","Yes"
"2022/04/08 5:02:23 AM GMT-3","Yes",,
"2022/04/08 5:14:14 AM GMT-3","Yes",,
"2022/04/08 6:27:38 AM GMT-3","Yes","No","Yes"
"2022/04/08 5:14:53 PM GMT-3","Yes",,"No"
"2022/04/08 6:31:27 PM GMT-3","Yes","Yes","No"
"2022/04/08 6:59:52 PM GMT-3","No",,
"2022/04/09 3:27:17 AM GMT-3","Yes","Yes","No"
"2022/04/10 12:31:51 PM GMT-3","Yes","Yes",
"2022/04/11 6:43:45 AM GMT-3","Yes",,
"2022/04/11 10:28:25 AM GMT-3","Yes","Yes","Yes"
"2022/04/11 10:31:40 AM GMT-3","Yes","Yes","Yes"
"2022/04/11 11:13:38 AM GMT-3","Yes","No","Yes"
"2022/04/11 11:50:44 AM GMT-3","Yes","Yes","Yes"
"2022/04/11 11:59:59 AM GMT-3","Yes","Yes",
"2022/04/11 12:31:02 PM GMT-3","Yes","Yes","No"
